,번호,정답,난이도,배점,정답률,선지1,선지2,선지3,선지4,선지5,시험과목,시험일,시험구분
1133,24,2,하,3,91%,1%,91%,3%,3%,2%,미적분,2023.07.11,학력평가
1134,25,1,중,3,75%,75%,5%,8%,5%,7%,미적분,2023.07.11,학력평가
1135,26,4,중,3,69%,3%,13%,7%,69%,7%,미적분,2023.07.11,학력평가
1136,27,3,상,3,49%,18%,6%,49%,14%,13%,미적분,2023.07.11,학력평가
1137,28,2,상,4,42%,5%,42%,10%,15%,28%,미적분,2023.07.11,학력평가
1138,29,12,최상,4,17%,83% (주관식),,,,,미적분,2023.07.11,학력평가
1139,30,208,최상,4,5%,95% (주관식),,,,,미적분,2023.07.11,학력평가
1140,1,4,하,2,92%,2%,2%,3%,92%,1%,기하,2023.07.11,학력평가
1141,2,5,하,2,92%,2%,2%,2%,2%,92%,기하,2023.07.11,학력평가
1142,3,5,중,3,75%,14%,4%,3%,4%,75%,기하,2023.07.11,학력평가
1143,4,3,하,3,92%,2%,2%,92%,3%,1%,기하,2023.07.11,학력평가
1144,5,2,하,3,91%,2%,91%,3%,2%,2%,기하,2023.07.11,학력평가
1145,6,4,하,3,93%,1%,1%,3%,93%,1%,기하,2023.07.11,학력평가
1146,7,1,하,3,92%,92%,2%,3%,3%,1%,기하,2023.07.11,학력평가
1147,8,2,중하,3,80%,2%,80%,9%,6%,3%,기하,2023.07.11,학력평가
1148,9,2,중,4,74%,6%,74%,9%,6%,5%,기하,2023.07.11,학력평가
1149,10,3,중,4,73%,4%,14%,73%,8%,2%,기하,2023.07.11,학력평가
1150,11,1,중,4,71%,71%,5%,9%,11%,4%,기하,2023.07.11,학력평가
1151,12,3,중,4,69%,5%,7%,69%,13%,6%,기하,2023.07.11,학력평가
1152,13,1,상,4,48%,48%,8%,17%,15%,12%,기하,2023.07.11,학력평가
1153,14,5,중상,4,57%,4%,13%,18%,7%,57%,기하,2023.07.11,학력평가
1154,15,4,상,4,43%,12%,10%,20%,43%,15%,기하,2023.07.11,학력평가
1155,16,9,중하,3,88%,12% (주관식),,,,,기하,2023.07.11,학력평가
1156,17,20,중하,3,88%,12% (주관식),,,,,기하,2023.07.11,학력평가
1157,18,65,중하,3,82%,18% (주관식),,,,,기하,2023.07.11,학력평가
1158,19,22,중,3,73%,27% (주관식),,,,,기하,2023.07.11,학력평가
1159,20,54,상,4,33%,67% (주관식),,,,,기하,2023.07.11,학력평가
1160,21,13,상,4,33%,67% (주관식),,,,,기하,2023.07.11,학력평가
1161,22,182,최상,4,4%,96% (주관식),,,,,기하,2023.07.11,학력평가
1162,23,2,하,2,90%,3%,90%,3%,3%,1%,기하,2023.07.11,학력평가
1163,24,3,중하,3,88%,2%,2%,88%,6%,2%,기하,2023.07.11,학력평가
1164,25,5,중,3,78%,3%,4%,6%,9%,78%,기하,2023.07.11,학력평가
1165,26,1,중,3,76%,76%,2%,10%,10%,3%,기하,2023.07.11,학력평가
1166,27,4,중,3,74%,4%,6%,10%,74%,5%,기하,2023.07.11,학력평가
1167,28,2,상,4,46%,9%,46%,17%,19%,8%,기하,2023.07.11,학력평가
1168,29,15,최상,4,12%,88% (주관식),,,,,기하,2023.07.11,학력평가
1169,30,27,최상,4,15%,85% (주관식),,,,,기하,2023.07.11,학력평가
1170,1,5,하,2,91%,2%,3%,2%,2%,91%,확률과통계,2023.06.01,모의평가
1171,2,4,중하,2,88%,2%,3%,6%,88%,1%,확률과통계,2023.06.01,모의평가
1172,3,2,중하,3,86%,2%,86%,5%,4%,3%,확률과통계,2023.06.01,모의평가
1173,4,2,중하,3,80%,2%,80%,7%,10%,1%,확률과통계,2023.06.01,모의평가
1174,5,1,중하,3,84%,84%,3%,4%,7%,1%,확률과통계,2023.06.01,모의평가
1175,6,4,중,3,68%,4%,13%,6%,68%,9%,확률과통계,2023.06.01,모의평가
1176,7,3,중,3,75%,8%,6%,75%,7%,4%,확률과통계,2023.06.01,모의평가
1177,8,3,중,3,72%,9%,7%,72%,8%,4%,확률과통계,2023.06.01,모의평가
1178,9,1,상,4,46%,46%,8%,13%,20%,12%,확률과통계,2023.06.01,모의평가
1179,10,2,중,4,63%,5%,63%,12%,11%,8%,확률과통계,2023.06.01,모의평가
1180,11,3,중상,4,54%,8%,8%,54%,15%,15%,확률과통계,2023.06.01,모의평가
1181,12,5,상,4,43%,6%,11%,19%,21%,43%,확률과통계,2023.06.01,모의평가
1182,13,1,최상,4,20%,20%,12%,22%,29%,17%,확률과통계,2023.06.01,모의평가
1183,14,3,상,4,43%,7%,9%,43%,23%,17%,확률과통계,2023.06.01,모의평가
1184,15,2,최상,4,21%,10%,21%,23%,25%,21%,확률과통계,2023.06.01,모의평가
1185,16,3,중하,3,84%,16% (주관식),,,,,확률과통계,2023.06.01,모의평가
1186,17,33,중하,3,85%,15% (주관식),,,,,확률과통계,2023.06.01,모의평가
1187,18,6,중,3,73%,27% (주관식),,,,,확률과통계,2023.06.01,모의평가
1188,19,8,상,3,48%,52% (주관식),,,,,확률과통계,2023.06.01,모의평가
1189,20,39,최상,4,13%,87% (주관식),,,,,확률과통계,2023.06.01,모의평가
1190,21,110,최상,4,11%,89% (주관식),,,,,확률과통계,2023.06.01,모의평가
1191,22,380,최상,4,2%,98% (주관식),,,,,확률과통계,2023.06.01,모의평가
1192,23,3,하,2,93%,2%,2%,93%,2%,1%,확률과통계,2023.06.01,모의평가
1193,24,4,중하,3,83%,3%,7%,4%,83%,3%,확률과통계,2023.06.01,모의평가
1194,25,3,중하,3,81%,2%,5%,81%,6%,5%,확률과통계,2023.06.01,모의평가
1195,26,1,중,3,72%,72%,6%,7%,8%,7%,확률과통계,2023.06.01,모의평가
1196,27,2,중,3,72%,5%,72%,8%,7%,8%,확률과통계,2023.06.01,모의평가
1197,28,5,중상,4,54%,9%,12%,12%,14%,54%,확률과통계,2023.06.01,모의평가
1198,29,25,최상,4,25%,75% (주관식),,,,,확률과통계,2023.06.01,모의평가
1199,30,51,최상,4,25%,75% (주관식),,,,,확률과통계,2023.06.01,모의평가
1200,1,5,하,2,97%,1%,1%,1%,1%,97%,미적분,2023.06.01,모의평가
1201,2,4,하,2,96%,1%,1%,2%,96%,0%,미적분,2023.06.01,모의평가
1202,3,2,하,3,96%,1%,96%,1%,1%,1%,미적분,2023.06.01,모의평가
1203,4,2,하,3,94%,1%,94%,2%,3%,0%,미적분,2023.06.01,모의평가
1204,5,1,하,3,94%,94%,1%,1%,3%,0%,미적분,2023.06.01,모의평가
1205,6,4,중하,3,86%,1%,7%,2%,86%,3%,미적분,2023.06.01,모의평가
1206,7,3,하,3,90%,4%,2%,90%,2%,2%,미적분,2023.06.01,모의평가
1207,8,3,중하,3,87%,6%,3%,87%,3%,2%,미적분,2023.06.01,모의평가
1208,9,1,중,4,76%,76%,3%,6%,9%,6%,미적분,2023.06.01,모의평가
1209,10,2,중하,4,86%,3%,86%,4%,4%,3%,미적분,2023.06.01,모의평가
1210,11,3,중,4,78%,5%,4%,78%,6%,7%,미적분,2023.06.01,모의평가
1211,12,5,중,4,67%,4%,7%,9%,12%,67%,미적분,2023.06.01,모의평가
1212,13,1,상,4,39%,39%,8%,13%,28%,13%,미적분,2023.06.01,모의평가
1213,14,3,중,4,65%,5%,5%,65%,15%,10%,미적분,2023.06.01,모의평가
1214,15,2,상,4,36%,10%,36%,18%,20%,16%,미적분,2023.06.01,모의평가
1215,16,3,하,3,93%,7% (주관식),,,,,미적분,2023.06.01,모의평가
1216,17,33,하,3,94%,6% (주관식),,,,,미적분,2023.06.01,모의평가
1217,18,6,하,3,90%,10% (주관식),,,,,미적분,2023.06.01,모의평가
1218,19,8,중,3,75%,25% (주관식),,,,,미적분,2023.06.01,모의평가
1219,20,39,상,4,35%,65% (주관식),,,,,미적분,2023.06.01,모의평가
1220,21,110,최상,4,24%,76% (주관식),,,,,미적분,2023.06.01,모의평가
1221,22,380,최상,4,10%,90% (주관식),,,,,미적분,2023.06.01,모의평가
1222,23,5,하,2,92%,1%,5%,1%,1%,92%,미적분,2023.06.01,모의평가
1223,24,4,중하,3,85%,3%,4%,6%,85%,2%,미적분,2023.06.01,모의평가
1224,25,1,중,3,79%,79%,6%,6%,7%,1%,미적분,2023.06.01,모의평가
1225,26,2,중,3,75%,4%,75%,8%,8%,4%,미적분,2023.06.01,모의평가
1226,27,3,중,3,68%,4%,6%,68%,15%,7%,미적분,2023.06.01,모의평가
1227,28,2,최상,4,26%,9%,26%,23%,18%,23%,미적분,2023.06.01,모의평가
1228,29,5,최상,4,23%,77% (주관식),,,,,미적분,2023.06.01,모의평가
1229,30,24,최상,4,11%,89% (주관식),,,,,미적분,2023.06.01,모의평가
1230,1,5,하,2,94%,2%,1%,1%,1%,94%,기하,2023.06.01,모의평가
1231,2,4,하,2,92%,2%,2%,4%,92%,1%,기하,2023.06.01,모의평가
1232,3,2,하,3,91%,1%,91%,3%,2%,2%,기하,2023.06.01,모의평가
1233,4,2,중하,3,89%,1%,89%,4%,5%,1%,기하,2023.06.01,모의평가
1234,5,1,하,3,90%,90%,2%,2%,5%,1%,기하,2023.06.01,모의평가
1235,6,4,중하,3,80%,2%,10%,3%,80%,5%,기하,2023.06.01,모의평가
1236,7,3,중하,3,87%,5%,3%,87%,3%,2%,기하,2023.06.01,모의평가
1237,8,3,중하,3,83%,6%,4%,83%,4%,3%,기하,2023.06.01,모의평가
1238,9,1,중,4,65%,65%,5%,7%,13%,9%,기하,2023.06.01,모의평가
1239,10,2,중,4,78%,4%,78%,7%,6%,5%,기하,2023.06.01,모의평가
1240,11,3,중,4,69%,7%,5%,69%,9%,10%,기하,2023.06.01,모의평가
1241,12,5,중상,4,59%,5%,9%,11%,15%,59%,기하,2023.06.01,모의평가
1242,13,1,상,4,38%,38%,8%,15%,23%,15%,기하,2023.06.01,모의평가
1243,14,3,중상,4,58%,6%,6%,58%,16%,14%,기하,2023.06.01,모의평가
1244,15,2,상,4,30%,11%,30%,19%,20%,20%,기하,2023.06.01,모의평가
1245,16,3,중하,3,89%,11% (주관식),,,,,기하,2023.06.01,모의평가
1246,17,33,하,3,90%,10% (주관식),,,,,기하,2023.06.01,모의평가
1247,18,6,중하,3,83%,17% (주관식),,,,,기하,2023.06.01,모의평가
1248,19,8,중,3,69%,31% (주관식),,,,,기하,2023.06.01,모의평가
1249,20,39,상,4,30%,70% (주관식),,,,,기하,2023.06.01,모의평가
1250,21,110,최상,4,21%,79% (주관식),,,,,기하,2023.06.01,모의평가
1251,22,380,최상,4,7%,93% (주관식),,,,,기하,2023.06.01,모의평가
1252,23,1,하,2,91%,91%,2%,3%,3%,1%,기하,2023.06.01,모의평가
1253,24,4,중,3,68%,3%,18%,7%,68%,3%,기하,2023.06.01,모의평가
1254,25,2,중,3,68%,5%,68%,12%,11%,4%,기하,2023.06.01,모의평가
1255,26,4,중,3,72%,3%,6%,12%,72%,7%,기하,2023.06.01,모의평가
1256,27,3,중상,3,59%,8%,7%,59%,10%,17%,기하,2023.06.01,모의평가
1257,28,5,상,4,49%,6%,9%,20%,16%,49%,기하,2023.06.01,모의평가
1258,29,80,상,4,39%,61% (주관식),,,,,기하,2023.06.01,모의평가
1259,30,13,최상,4,26%,74% (주관식),,,,,기하,2023.06.01,모의평가
1260,1,2,중하,2,82%,5%,82%,5%,6%,2%,확률과통계,2023.05.10,학력평가
1261,2,4,하,2,90%,2%,3%,4%,90%,2%,확률과통계,2023.05.10,학력평가
1262,3,5,중하,3,86%,2%,3%,4%,5%,86%,확률과통계,2023.05.10,학력평가
1263,4,1,중하,3,84%,84%,3%,7%,4%,2%,확률과통계,2023.05.10,학력평가
1264,5,5,중,3,61%,3%,6%,21%,9%,61%,확률과통계,2023.05.10,학력평가
1265,6,4,중,3,75%,3%,5%,11%,75%,6%,확률과통계,2023.05.10,학력평가
1266,7,1,중,3,70%,70%,10%,9%,7%,3%,확률과통계,2023.05.10,학력평가
1267,8,3,중,3,68%,4%,7%,68%,16%,4%,확률과통계,2023.05.10,학력평가
1268,9,1,중,4,71%,71%,7%,10%,8%,4%,확률과통계,2023.05.10,학력평가
1269,10,2,중,4,63%,5%,63%,15%,12%,5%,확률과통계,2023.05.10,학력평가
1270,11,2,상,4,35%,8%,35%,28%,16%,12%,확률과통계,2023.05.10,학력평가
1271,12,2,상,4,40%,6%,40%,19%,23%,11%,확률과통계,2023.05.10,학력평가
1272,13,3,상,4,38%,7%,13%,38%,26%,17%,확률과통계,2023.05.10,학력평가
1273,14,3,상,4,36%,5%,5%,36%,14%,40%,확률과통계,2023.05.10,학력평가
1274,15,4,최상,4,29%,9%,11%,30%,29%,20%,확률과통계,2023.05.10,학력평가
1275,16,5,중하,3,89%,11% (주관식),,,,,확률과통계,2023.05.10,학력평가
1276,17,3,중하,3,85%,15% (주관식),,,,,확률과통계,2023.05.10,학력평가
1277,18,8,중,3,74%,26% (주관식),,,,,확률과통계,2023.05.10,학력평가
1278,19,6,중상,3,56%,44% (주관식),,,,,확률과통계,2023.05.10,학력평가
1279,20,30,최상,4,20%,80% (주관식),,,,,확률과통계,2023.05.10,학력평가
1280,21,22,최상,4,11%,89% (주관식),,,,,확률과통계,2023.05.10,학력평가
1281,22,32,최상,4,2%,98% (주관식),,,,,확률과통계,2023.05.10,학력평가
1282,23,1,중하,2,83%,83%,3%,6%,3%,5%,확률과통계,2023.05.10,학력평가
1283,24,5,중,3,63%,3%,4%,19%,11%,63%,확률과통계,2023.05.10,학력평가
1284,25,3,중하,3,89%,3%,2%,89%,4%,2%,확률과통계,2023.05.10,학력평가
1285,26,2,중,3,79%,5%,79%,5%,7%,4%,확률과통계,2023.05.10,학력평가
1286,27,4,중,3,63%,5%,10%,14%,63%,7%,확률과통계,2023.05.10,학력평가
1287,28,1,상,4,37%,37%,9%,15%,24%,15%,확률과통계,2023.05.10,학력평가
1288,29,523,최상,4,15%,85% (주관식),,,,,확률과통계,2023.05.10,학력평가
1289,30,188,최상,4,4%,96% (주관식),,,,,확률과통계,2023.05.10,학력평가
1290,1,2,하,2,94%,2%,94%,1%,2%,0%,미적분,2023.05.10,학력평가
1291,2,4,하,2,97%,1%,1%,1%,97%,1%,미적분,2023.05.10,학력평가
1292,3,5,하,3,94%,1%,1%,1%,3%,94%,미적분,2023.05.10,학력평가
1293,4,1,하,3,95%,95%,1%,2%,1%,1%,미적분,2023.05.10,학력평가
1294,5,5,중하,3,82%,2%,2%,11%,3%,82%,미적분,2023.05.10,학력평가
1295,6,4,하,3,91%,1%,2%,4%,91%,3%,미적분,2023.05.10,학력평가
1296,7,1,하,3,90%,90%,4%,3%,2%,1%,미적분,2023.05.10,학력평가
1297,8,3,중하,3,88%,2%,3%,88%,6%,2%,미적분,2023.05.10,학력평가
1298,9,1,하,4,90%,90%,3%,3%,2%,2%,미적분,2023.05.10,학력평가
1299,10,2,중하,4,84%,3%,84%,7%,4%,2%,미적분,2023.05.10,학력평가
1300,11,2,중상,4,56%,6%,56%,19%,11%,7%,미적분,2023.05.10,학력평가
1301,12,2,중,4,62%,4%,62%,12%,14%,8%,미적분,2023.05.10,학력평가
1302,13,3,중상,4,53%,4%,8%,53%,18%,17%,미적분,2023.05.10,학력평가
1303,14,3,상,4,46%,5%,3%,46%,7%,39%,미적분,2023.05.10,학력평가
1304,15,4,상,4,39%,8%,7%,25%,39%,22%,미적분,2023.05.10,학력평가
1305,16,5,하,3,96%,4% (주관식),,,,,미적분,2023.05.10,학력평가
1306,17,3,하,3,96%,4% (주관식),,,,,미적분,2023.05.10,학력평가
1307,18,8,하,3,91%,9% (주관식),,,,,미적분,2023.05.10,학력평가
1308,19,6,중,3,77%,23% (주관식),,,,,미적분,2023.05.10,학력평가
1309,20,30,상,4,42%,58% (주관식),,,,,미적분,2023.05.10,학력평가
1310,21,22,상,4,31%,69% (주관식),,,,,미적분,2023.05.10,학력평가
1311,22,32,최상,4,5%,95% (주관식),,,,,미적분,2023.05.10,학력평가
1312,23,2,하,2,94%,2%,94%,2%,1%,1%,미적분,2023.05.10,학력평가
1313,24,1,하,3,94%,94%,2%,2%,2%,1%,미적분,2023.05.10,학력평가
1314,25,4,중하,3,88%,3%,1%,6%,88%,2%,미적분,2023.05.10,학력평가
1315,26,3,중,3,67%,3%,17%,67%,7%,5%,미적분,2023.05.10,학력평가
1316,27,3,중,3,62%,7%,5%,62%,10%,16%,미적분,2023.05.10,학력평가
1317,28,4,최상,4,29%,19%,9%,18%,29%,26%,미적분,2023.05.10,학력평가
1318,29,79,최상,4,5%,95% (주관식),,,,,미적분,2023.05.10,학력평가
1319,30,107,최상,4,2%,98% (주관식),,,,,미적분,2023.05.10,학력평가
1320,1,2,중하,2,89%,3%,89%,3%,4%,1%,기하,2023.05.10,학력평가
1321,2,4,하,2,93%,1%,2%,2%,93%,1%,기하,2023.05.10,학력평가
1322,3,5,하,3,91%,1%,2%,2%,4%,91%,기하,2023.05.10,학력평가
1323,4,1,하,3,90%,90%,2%,4%,2%,1%,기하,2023.05.10,학력평가
1324,5,5,중,3,77%,3%,3%,13%,5%,77%,기하,2023.05.10,학력평가
1325,6,4,중하,3,84%,2%,3%,6%,84%,4%,기하,2023.05.10,학력평가
1326,7,1,중하,3,82%,82%,5%,5%,4%,3%,기하,2023.05.10,학력평가
1327,8,3,중하,3,82%,3%,4%,82%,8%,3%,기하,2023.05.10,학력평가
1328,9,1,중하,4,83%,83%,4%,6%,4%,3%,기하,2023.05.10,학력평가
1329,10,2,중,4,79%,3%,79%,9%,6%,3%,기하,2023.05.10,학력평가
1330,11,2,중상,4,53%,6%,53%,20%,12%,8%,기하,2023.05.10,학력평가
1331,12,2,중상,4,56%,6%,56%,16%,15%,7%,기하,2023.05.10,학력평가
1332,13,3,중상,4,51%,8%,10%,51%,18%,14%,기하,2023.05.10,학력평가
1333,14,3,상,4,45%,6%,4%,45%,11%,34%,기하,2023.05.10,학력평가
1334,15,4,상,4,38%,11%,9%,25%,38%,17%,기하,2023.05.10,학력평가
1335,16,5,하,3,92%,8% (주관식),,,,,기하,2023.05.10,학력평가
1336,17,3,하,3,90%,10% (주관식),,,,,기하,2023.05.10,학력평가
1337,18,8,중하,3,85%,15% (주관식),,,,,기하,2023.05.10,학력평가
1338,19,6,중,3,72%,28% (주관식),,,,,기하,2023.05.10,학력평가
1339,20,30,상,4,39%,61% (주관식),,,,,기하,2023.05.10,학력평가
1340,21,22,상,4,35%,65% (주관식),,,,,기하,2023.05.10,학력평가
1341,22,32,최상,4,5%,95% (주관식),,,,,기하,2023.05.10,학력평가
1342,23,3,중하,2,84%,3%,2%,84%,6%,5%,기하,2023.05.10,학력평가
1343,24,5,중하,3,83%,6%,2%,6%,3%,83%,기하,2023.05.10,학력평가
1344,25,5,중하,3,82%,3%,5%,5%,6%,82%,기하,2023.05.10,학력평가
1345,26,1,중,3,75%,75%,4%,9%,9%,3%,기하,2023.05.10,학력평가
1346,27,4,중,3,64%,6%,12%,13%,64%,5%,기하,2023.05.10,학력평가
1347,28,4,상,4,46%,8%,24%,15%,46%,7%,기하,2023.05.10,학력평가
1348,29,171,최상,4,23%,77% (주관식),,,,,기하,2023.05.10,학력평가
1349,30,24,최상,4,15%,85% (주관식),,,,,기하,2023.05.10,학력평가
1350,1,1,중하,2,85%,85%,4%,6%,3%,1%,확률과통계,2023.03.23,학력평가
1351,2,4,중하,2,89%,2%,3%,4%,89%,2%,확률과통계,2023.03.23,학력평가
1352,3,1,중,3,79%,79%,4%,9%,5%,2%,확률과통계,2023.03.23,학력평가
1353,4,2,중,3,71%,5%,71%,13%,7%,4%,확률과통계,2023.03.23,학력평가
1354,5,5,중,3,66%,12%,6%,8%,9%,66%,확률과통계,2023.03.23,학력평가
1355,6,1,중,3,67%,67%,8%,9%,12%,5%,확률과통계,2023.03.23,학력평가
1356,7,3,중,3,74%,8%,6%,74%,9%,4%,확률과통계,2023.03.23,학력평가
1357,8,5,중,3,64%,5%,8%,11%,12%,64%,확률과통계,2023.03.23,학력평가
1358,9,2,중,4,69%,5%,69%,10%,10%,6%,확률과통계,2023.03.23,학력평가
1359,10,2,중,4,65%,6%,65%,11%,12%,7%,확률과통계,2023.03.23,학력평가
1360,11,3,중상,4,50%,8%,13%,50%,23%,7%,확률과통계,2023.03.23,학력평가
1361,12,4,상,4,46%,6%,11%,21%,46%,15%,확률과통계,2023.03.23,학력평가
1362,13,4,상,4,43%,7%,14%,23%,43%,13%,확률과통계,2023.03.23,학력평가
1363,14,5,상,4,44%,5%,17%,23%,11%,44%,확률과통계,2023.03.23,학력평가
1364,15,3,상,4,38%,9%,14%,38%,24%,14%,확률과통계,2023.03.23,학력평가
1365,16,4,중하,3,80%,20% (주관식),,,,,확률과통계,2023.03.23,학력평가
1366,17,11,중,3,63%,37% (주관식),,,,,확률과통계,2023.03.23,학력평가
1367,18,427,중상,3,54%,46% (주관식),,,,,확률과통계,2023.03.23,학력평가
1368,19,18,상,3,40%,60% (주관식),,,,,확률과통계,2023.03.23,학력평가
1369,20,66,최상,4,10%,90% (주관식),,,,,확률과통계,2023.03.23,학력평가
1370,21,12,최상,4,13%,87% (주관식),,,,,확률과통계,2023.03.23,학력평가
1371,22,729,최상,4,2%,98% (주관식),,,,,확률과통계,2023.03.23,학력평가
1372,23,1,중하,2,87%,87%,4%,3%,5%,1%,확률과통계,2023.03.23,학력평가
1373,24,3,중하,3,89%,2%,4%,89%,3%,2%,확률과통계,2023.03.23,학력평가
1374,25,4,중하,3,87%,3%,3%,5%,87%,2%,확률과통계,2023.03.23,학력평가
1375,26,5,중,3,67%,15%,5%,8%,5%,67%,확률과통계,2023.03.23,학력평가
1376,27,2,중,3,72%,8%,72%,9%,7%,5%,확률과통계,2023.03.23,학력평가
1377,28,5,상,4,38%,8%,8%,33%,12%,38%,확률과통계,2023.03.23,학력평가
1378,29,120,상,4,40%,60% (주관식),,,,,확률과통계,2023.03.23,학력평가
1379,30,45,최상,4,18%,82% (주관식),,,,,확률과통계,2023.03.23,학력평가
1380,1,1,하,2,94%,94%,2%,2%,1%,0%,미적분,2023.03.23,학력평가
1381,2,4,하,2,95%,1%,1%,1%,95%,1%,미적분,2023.03.23,학력평가
1382,3,1,하,3,92%,92%,2%,3%,2%,1%,미적분,2023.03.23,학력평가
1383,4,2,중하,3,87%,3%,87%,6%,3%,1%,미적분,2023.03.23,학력평가
1384,5,5,중,3,79%,12%,2%,2%,4%,79%,미적분,2023.03.23,학력평가
1385,6,1,중하,3,85%,85%,3%,3%,7%,2%,미적분,2023.03.23,학력평가
1386,7,3,중하,3,88%,5%,2%,88%,3%,2%,미적분,2023.03.23,학력평가
1387,8,5,중하,3,85%,3%,3%,4%,5%,85%,미적분,2023.03.23,학력평가
1388,9,2,중하,4,88%,2%,88%,4%,4%,2%,미적분,2023.03.23,학력평가
1389,10,2,중하,4,83%,4%,83%,5%,5%,3%,미적분,2023.03.23,학력평가
1390,11,3,중,4,68%,6%,8%,68%,14%,4%,미적분,2023.03.23,학력평가
1391,12,4,중,4,67%,3%,6%,11%,67%,13%,미적분,2023.03.23,학력평가
1392,13,4,중,4,61%,5%,10%,15%,61%,10%,미적분,2023.03.23,학력평가
1393,14,5,중상,4,57%,4%,21%,14%,5%,57%,미적분,2023.03.23,학력평가
1394,15,3,중상,4,50%,8%,11%,50%,18%,12%,미적분,2023.03.23,학력평가
1395,16,4,하,3,92%,8% (주관식),,,,,미적분,2023.03.23,학력평가
1396,17,11,중하,3,83%,17% (주관식),,,,,미적분,2023.03.23,학력평가
1397,18,427,중,3,76%,24% (주관식),,,,,미적분,2023.03.23,학력평가
1398,19,18,중,3,63%,37% (주관식),,,,,미적분,2023.03.23,학력평가
1399,20,66,최상,4,29%,71% (주관식),,,,,미적분,2023.03.23,학력평가
1400,21,12,상,4,32%,68% (주관식),,,,,미적분,2023.03.23,학력평가
1401,22,729,최상,4,8%,92% (주관식),,,,,미적분,2023.03.23,학력평가
1402,23,4,하,2,94%,2%,1%,1%,94%,1%,미적분,2023.03.23,학력평가
1403,24,2,하,3,93%,2%,93%,2%,2%,1%,미적분,2023.03.23,학력평가
1404,25,3,중하,3,82%,4%,7%,82%,5%,3%,미적분,2023.03.23,학력평가
1405,26,5,중,3,77%,5%,4%,6%,7%,77%,미적분,2023.03.23,학력평가
1406,27,1,중상,3,55%,55%,9%,14%,13%,10%,미적분,2023.03.23,학력평가
1407,28,2,상,4,34%,23%,34%,18%,16%,9%,미적분,2023.03.23,학력평가
1408,29,50,상,4,32%,68% (주관식),,,,,미적분,2023.03.23,학력평가
1409,30,25,최상,4,9%,91% (주관식),,,,,미적분,2023.03.23,학력평가
1410,1,1,하,2,90%,90%,3%,4%,2%,1%,기하,2023.03.23,학력평가
1411,2,4,중하,2,89%,2%,3%,3%,89%,2%,기하,2023.03.23,학력평가
1412,3,1,중하,3,85%,85%,3%,6%,4%,2%,기하,2023.03.23,학력평가
1413,4,2,중하,3,80%,4%,80%,9%,4%,2%,기하,2023.03.23,학력평가
1414,5,5,중,3,75%,11%,4%,4%,5%,75%,기하,2023.03.23,학력평가
1415,6,1,중,3,78%,78%,5%,6%,8%,3%,기하,2023.03.23,학력평가
1416,7,3,중하,3,80%,6%,5%,80%,6%,3%,기하,2023.03.23,학력평가
1417,8,5,중,3,79%,3%,5%,6%,7%,79%,기하,2023.03.23,학력평가
1418,9,2,중하,4,81%,4%,81%,6%,6%,4%,기하,2023.03.23,학력평가
1419,10,2,중,4,77%,5%,77%,7%,8%,4%,기하,2023.03.23,학력평가
1420,11,3,중,4,63%,7%,9%,63%,14%,6%,기하,2023.03.23,학력평가
1421,12,4,중,4,61%,5%,8%,13%,61%,12%,기하,2023.03.23,학력평가
1422,13,4,중상,4,55%,6%,11%,17%,55%,10%,기하,2023.03.23,학력평가
1423,14,5,중상,4,51%,6%,18%,17%,8%,51%,기하,2023.03.23,학력평가
1424,15,3,상,4,44%,11%,13%,44%,20%,12%,기하,2023.03.23,학력평가
1425,16,4,중하,3,85%,15% (주관식),,,,,기하,2023.03.23,학력평가
1426,17,11,중,3,75%,25% (주관식),,,,,기하,2023.03.23,학력평가
1427,18,427,중,3,67%,33% (주관식),,,,,기하,2023.03.23,학력평가
1428,19,18,중상,3,57%,43% (주관식),,,,,기하,2023.03.23,학력평가
1429,20,66,최상,4,24%,76% (주관식),,,,,기하,2023.03.23,학력평가
1430,21,12,최상,4,27%,73% (주관식),,,,,기하,2023.03.23,학력평가
1431,22,729,최상,4,7%,93% (주관식),,,,,기하,2023.03.23,학력평가
1432,23,5,중하,2,87%,4%,3%,3%,3%,87%,기하,2023.03.23,학력평가
1433,24,1,중하,3,89%,89%,4%,3%,3%,2%,기하,2023.03.23,학력평가
1434,25,3,중하,3,82%,4%,5%,82%,6%,3%,기하,2023.03.23,학력평가
1435,26,2,중,3,71%,4%,71%,7%,13%,5%,기하,2023.03.23,학력평가
1436,27,4,중,3,75%,5%,7%,8%,75%,5%,기하,2023.03.23,학력평가
1437,28,4,중상,4,55%,9%,9%,18%,55%,10%,기하,2023.03.23,학력평가
1438,29,96,상,4,38%,62% (주관식),,,,,기하,2023.03.23,학력평가
1439,30,100,최상,4,18%,82% (주관식),,,,,기하,2023.03.23,학력평가
1440,1,5,중하,2,82%,2%,3%,5%,8%,82%,확률과통계,2022.11.17,수능
1441,2,4,중하,2,80%,4%,5%,9%,80%,2%,확률과통계,2022.11.17,수능
1442,3,1,중,3,79%,79%,5%,7%,7%,2%,확률과통계,2022.11.17,수능
1443,4,3,중하,3,80%,8%,4%,80%,6%,2%,확률과통계,2022.11.17,수능
1444,5,5,중,3,60%,17%,10%,5%,9%,60%,확률과통계,2022.11.17,수능
1445,6,2,중하,3,80%,3%,80%,7%,8%,2%,확률과통계,2022.11.17,수능
